gene	female-infant-coarse-2
1	0
10	-0.001602337113396961
100	0
1000	0
10000	0
100009676	0
10001	0
10002	0
10003	0
10004	0
100048912	0
10005	0
10006	0
10007	-0.0018003472444380066
10008	0
10009	0
100093630	0.02330470909837959
100093698	0
1001	0.0010951082973548686
10010	0
100101467	0
100101938	0
10011	0
100113407	0
100124700	0
100125288	0
100126791	0
100126793	-0.00834137114792852
100127888	0
100127983	0
100128025	0
100128071	0
100128098	0
100128124	0
100128126	0
100128139	0
100128164	0
100128191	0
100128239	-0.01682226312447194
100128325	0
100128554	0
100128590	-0.02484178478552093
100128640	0
100128731	0
100128750	0
100128782	0
100128788	0
100128881	0.008891733992444154
100128893	0
100128927	0
100128946	0
100129128	0
100129175	0
100129195	-0.011121737960953207
100129196	0
100129250	0
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0
100129550	-0.007340218566627282
100129597	0
100129620	0
100129654	0
100129662	-0.0047066193941394645
100129716	0
100129722	0
100129726	0
100129792	9.220608896874466e-4
100129794	0
100129827	0.007326928077709358
100129845	0
100129858	0.03170452488266173
100129917	0
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0.002512471900912043
100130449	0
100130476	0
100130519	0
100130522	0
100130548	0
100130613	0
100130691	0.017520905737370744
100130705	0
100130717	0
100130733	0
100130776	0.0024778276090211366
100130894	0
100130933	0
100130950	3.5483569489106213e-4
100130958	0.009368428529349073
100130967	0
100131017	0
100131067	-0.014132810049868468
100131117	0
100131138	0
100131187	0
100131211	0
100131213	0
100131303	0
100131347	0
100131366	0
100131434	-0.05522290540525996
100131496	0
100131655	0
100131691	0
100131755	-0.03114613266138427
100131801	0
100131814	-0.009830349017112393
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0
100133205	0
100133311	0
100133461	0
100133612	0
100133941	0.038564492674559685
100133985	0
100134229	0
100134259	0
100134368	0
100134713	0.004447954945541365
100137047	0
10014	0
100141515	0
100144597	0
100144602	0
100144603	0
100144748	0.0057051708834195275
10015	0
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	4.566598708613285e-4
10018	0
100188893	0
100188953	0
100189589	0
10019	0
100190938	0.0012302265824520825
100192379	0
100192386	0
1002	0
10020	0
10021	0
10022	0
10023	0
10024	0
10025	0
10026	0
100268168	0
100270679	0
100272147	0
100286844	0
100287015	0
100287114	0
100287177	-0.015582651461648186
100287366	0
100287482	0.031490597750079084
100287569	0
100287616	0
100287814	0
100287896	-0.004611339276819745
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	-0.0031265894883568813
100288797	0
100289092	0
100289097	0
100289098	-0.01973162785313878
100289187	0
100289274	0
100289341	0
100289373	0
100289495	0
100289635	0
100289678	0
100292680	0
100293516	0
100294362	0
100294720	0
1003	0
100302691	0
100303728	-0.0015631602097916826
100303755	0
100306951	0
100316904	0
100329135	0
100359394	0
10036	0
100379174	0
10038	0
100381270	0.034541490220224354
10039	0
1004	0
10040	0
10042	0
100422737	0.0012545239979780336
10043	-0.006730245032604513
10044	0
10045	0
10046	-0.008820796730695088
10047	0
10048	0
10049	-0.021212532575913927
100499171	0
1005	0
10050	0
100500850	0
100505474	0
100505478	0
100505495	0
100505501	-0.012653219181917573
100505515	0
100505538	0
100505540	0
100505545	0
100505549	0
100505573	0
100505583	0
